Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),36fdxiOzdlmsrHgGcfvqUJ,4vp2J1l5RD4gMZwGFLfRAu,0,2009-01-01,289133,False,https://open.spotify.com/track/4vp2J1l5RD4gMZwGFLfRAu,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96
rockstar (feat. 21 Savage),"Post Malone,21 Savage",beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,0e7ipj03S05BNilyu5bRzt,83,2018-04-27,218147,True,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801
Die For You,The Weeknd,Starboy,2ODvWsOgouMbaA5xf0RkJe,2Ch7LmS7r2Gy2kc64wv3Bz,82,2016-11-25,260253,False,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249
Payday (feat. Young Thug),"Doja Cat,Young Thug",Planet Her,1nAQbHeOWTfQzbOoFrvndW,2HolBGR6tpiWI80MXoV1dJ,57,2021-06-25,212947,True,https://open.spotify.com/track/2HolBGR6tpiWI80MXoV1dJ,0.619,0.707,1,-5.791,1,0.0499,0.0366,7.54e-05,0.13,0.558,168.995
I Like It,"Cardi B,Bad Bunny,J Balvin",Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,58q2HKrzhC3ozto2nDdN4z,77,2018-04-06,253390,True,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048
Only,"Nicki Minaj,Drake,Lil Wayne,Chris Brown",The Pinkprint,1IOHcoY4gPRECxpIhVGmuq,6AD3gisKJrvj1STmAIRzHg,56,2014-12-12,312027,True,https://open.spotify.com/track/6AD3gisKJrvj1STmAIRzHg,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196
Anaconda,Nicki Minaj,The Pinkprint (International Deluxe Explicit),40XGTQ7FN6Y3dZXJhKBe96,5eqiMMbaeUZ32Q7sS00H35,67,2014-12-12,260240,True,https://open.spotify.com/track/5eqiMMbaeUZ32Q7sS00H35,0.964,0.605,9,-6.223,1,0.179,0.0668,7.78e-06,0.214,0.646,129.994
After Hours,The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj,2p8IUWQDrpjuFltbdgLOag,83,2020-03-20,361027,False,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959
Less Than Zero,The Weeknd,Dawn FM,2nLOHgzXzwFEpl62zAgCEC,2D4dV2KXDTszzJ3p3cFqhA,75,2022-01-06,211814,False,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA,0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981
Trouble on My Mind,"Pusha T,Tyler, The Creator",Fear of God II: Let Us Pray,6ZS2NOEZ7XwlNlKWK2dzPM,3DzlR0kXE6shimFVhSwI4A,60,2011-11-08,212507,True,https://open.spotify.com/track/3DzlR0kXE6shimFVhSwI4A,0.655,0.794,1,-6.113,0,0.367,0.0935,3.57e-05,0.383,0.608,172.106
H•A•M,"Kanye West,JAY-Z",Watch The Throne (Deluxe),2P2Xwvh2xWXIZ1OWY9S9o5,7esMRbSzvLv60O70XLZFbc,0,2011-08-08,275733,True,https://open.spotify.com/track/7esMRbSzvLv60O70XLZFbc,0.657,0.524,8,-4.907,1,0.061,0.0462,0.0,0.322,0.0383,140.021
