Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Let Me Love You,"Ariana Grande,Lil Wayne",Dangerous Woman,3OZgEywV4krCZ814pTJWr7,5AKlnLpP3WLwZseNbjquND,0,2016-05-20,223853,False,https://open.spotify.com/track/5AKlnLpP3WLwZseNbjquND,0.527,0.435,2,-8.363,1,0.129,0.0295,0.0,0.243,0.0781,102.698
Only,"Nicki Minaj,Drake,Lil Wayne,Chris Brown",The Pinkprint (Deluxe),5ooCuPIk58IwSo6DRr1JCu,4MRT0dDbhqFKl67WzhUbSw,69,2014-12-15,312027,True,https://open.spotify.com/track/4MRT0dDbhqFKl67WzhUbSw,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196
Super Freaky Girl,Nicki Minaj,Queen Radio: Volume 1,1ia27ME4iQkoIyUHBnJqX6,2yjlYDiNiQkdxVqTlaSrlX,70,2022-08-26,170977,True,https://open.spotify.com/track/2yjlYDiNiQkdxVqTlaSrlX,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014
Conceited,Flo Milli,"You Still Here, Ho ?",42C76ZnwdWqEu6zs6NFW1A,3qKunud9sySc8qvQ3i84og,65,2022-07-20,146855,True,https://open.spotify.com/track/3qKunud9sySc8qvQ3i84og,0.984,0.719,8,-5.119,1,0.0893,0.0566,9.88e-05,0.517,0.437,118.015
23,"Mike WiLL Made-It,Miley Cyrus,Wiz Khalifa,Juicy J",23,5r7L8DlTsIKoDwSSiRf5M7,20FZrLl9zSbO9b3DhaqO6M,70,2013-01-01,252520,True,https://open.spotify.com/track/20FZrLl9zSbO9b3DhaqO6M,0.859,0.599,9,-5.254,1,0.0614,0.000362,8.2e-06,0.13,0.319,140.005
Tia Tamera (feat. Rico Nasty),"Doja Cat,Rico Nasty",Amala (Deluxe Version),3wOMqxNHgkga91RBC7BaZU,1uNePI826aqh9uC9pgbeHU,72,2019-03-01,211013,True,https://open.spotify.com/track/1uNePI826aqh9uC9pgbeHU,0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884
Formation,Beyoncé,Lemonade,7dK54iZuOxXFarGhXwEXfF,6g0Orsxv6glTJCt4cHsRsQ,71,2016-04-23,206080,True,https://open.spotify.com/track/6g0Orsxv6glTJCt4cHsRsQ,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966
Fly,"Nicki Minaj,Rihanna",Pink Friday,3LJhoYn4nnHmvPRO3ppbsl,2E1RGgFtr1X4H6glXOtABo,61,2010-01-01,212920,True,https://open.spotify.com/track/2E1RGgFtr1X4H6glXOtABo,0.665,0.848,10,-4.926,1,0.0386,0.0148,0.000118,0.1,0.196,119.897
Heartless,The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj,6bnF93Rx87YqUBLSgjiMU8,81,2020-03-20,198267,True,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062
In The Night,The Weeknd,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s,25KybV9BOUlvcnv7nN3Pyo,75,2015-08-28,235653,True,https://open.spotify.com/track/25KybV9BOUlvcnv7nN3Pyo,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022
Cocky Af,Megan Thee Stallion,Tina Snow,26jEIrN7WSAnVQXXUmLRSN,7hdR7gLsPQ6EXGeghibSK3,60,2018-12-21,177377,True,https://open.spotify.com/track/7hdR7gLsPQ6EXGeghibSK3,0.628,0.621,4,-9.585,0,0.356,0.00629,0.0,0.113,0.528,130.016
The Night Is Still Young,Nicki Minaj,The Pinkprint (Deluxe),5ooCuPIk58IwSo6DRr1JCu,4bBrKDo8rchikwZOtmXbIH,67,2014-12-15,227560,True,https://open.spotify.com/track/4bBrKDo8rchikwZOtmXbIH,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016
I Want (feat. 2 Chainz),"MadeinTYO,2 Chainz",You Are Forgiven (Deluxe Edition),1lRXGxzyZZLqVUZHYKNxQo,0uuE2usj5bvRqfKlfOu1NZ,48,2016-08-19,233294,True,https://open.spotify.com/track/0uuE2usj5bvRqfKlfOu1NZ,0.867,0.618,2,-6.936,1,0.102,0.185,0.00011,0.314,0.191,120.969
Heartbeat,Childish Gambino,Camp,2nkHPk6e7TgemWh07yFHxh,0zo4aX57COch7Wh3NRImTM,82,2011-11-15,269840,True,https://open.spotify.com/track/0zo4aX57COch7Wh3NRImTM,0.8,0.545,1,-7.002,0,0.127,0.00369,0.000461,0.0445,0.294,119.954
Escapism.,"RAYE,070 Shake",Escapism. / The Thrill Is Gone.,3omkMn8vbTKOebb9ABbqyb,5Z2MiIZ5I3jJvvmeWMLbOQ,6,2022-10-12,272373,True,https://open.spotify.com/track/5Z2MiIZ5I3jJvvmeWMLbOQ,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107
Drunk in Love Remix (feat. Jay-Z & Kanye West),"Beyoncé,JAY-Z,Kanye West",BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,0FZmAvivvifvtN3pZScbw1,65,2014-11-24,395987,True,https://open.spotify.com/track/0FZmAvivvifvtN3pZScbw1,0.508,0.763,8,-3.58,1,0.0516,0.16,0.0,0.118,0.476,139.653
Super Bass,Nicki Minaj,Pink Friday (Complete Edition),7aADdYLiK1z7GlMFr0UIZw,3hlksXnvbKogFdPbpO9vel,81,2010-11-22,200013,True,https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979
Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,4S8F794ucXJcAtycwOZgR9,0NTMtAO2BV4tnGvw9EgBVq,76,2015-03-26,219306,True,https://open.spotify.com/track/0NTMtAO2BV4tnGvw9EgBVq,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99
SLUT ME OUT,NLE Choppa,SLUT ME OUT,48868AJJd7JVl1IVmaBsaQ,5BmB3OaQyYXCqRyN8iR2Yi,74,2022-04-22,123673,True,https://open.spotify.com/track/5BmB3OaQyYXCqRyN8iR2Yi,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108
Tomorrow 2 (with Cardi B),"GloRilla,Cardi B",Tomorrow 2 (with Cardi B),5o1xUBd8aM7qFhjlBXiIpb,7KXVIAuw3m2hxZanrpSXS3,5,2022-09-23,209811,True,https://open.spotify.com/track/7KXVIAuw3m2hxZanrpSXS3,0.791,0.818,0,-3.93,1,0.406,0.0695,0.0,0.114,0.693,159.922
Bussin (with Lil Baby),"Nicki Minaj,Lil Baby",Queen Radio: Volume 1,1ia27ME4iQkoIyUHBnJqX6,5B5teXtnoq23K6xl3NJItn,51,2022-08-26,136761,True,https://open.spotify.com/track/5B5teXtnoq23K6xl3NJItn,0.889,0.727,11,-8.044,1,0.0483,0.0526,8.01e-06,0.129,0.779,139.971
Senile,"Young Money,Tyga,Nicki Minaj,Lil Wayne",Rise Of An Empire (Deluxe Edition),0UwpSCPnNPksM1meQJnBAF,1paIMWwjQxE1GX3hqQ8IUW,51,2014-01-01,198933,True,https://open.spotify.com/track/1paIMWwjQxE1GX3hqQ8IUW,0.816,0.729,2,-6.274,1,0.0459,0.0193,7.76e-06,0.182,0.298,111.989
Half On a Sack,Three 6 Mafia,Most Known Unknown (Explicit),0kTLdP4XPeJGsbr2L8ikyF,0KXO9R8yUd1BJjkEWXtor4,61,2005-09-27,206733,True,https://open.spotify.com/track/0KXO9R8yUd1BJjkEWXtor4,0.915,0.622,11,-5.801,0,0.0464,0.217,0.0,0.12,0.337,126.983
Kill Bill,SZA,SOS,07w0rG5TETcyihsEIZR3qG,3OHfY25tqY28d16oZczHc8,82,2022-12-09,153947,False,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993
Where Have You Been,Rihanna,Talk That Talk,2g1EakEaW7fPTZC6vBmBCn,5WQQIDU3HRaMyPkob8mpFb,76,2011-11-18,242680,False,https://open.spotify.com/track/5WQQIDU3HRaMyPkob8mpFb,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.221,0.444,127.963
Too Cool,Meaghan Martin,Camp Rock,1v1i6nqVmLWXKv2a7ByqxJ,07THAZa24N9xFHZcYuLRVK,50,2008-01-01,169907,False,https://open.spotify.com/track/07THAZa24N9xFHZcYuLRVK,0.543,0.859,6,-3.592,1,0.0371,0.028,0.0,0.235,0.736,138.947
